
|KWMD        |89.7  MHz |FM |209 |ND  |-                   |C3 |-  |CP     |STERLING                 |AK |US |BPED   -20111014ADA |0.     kW |8.     kW |0.0     |61.1    |93589      |N |60 |29 |19.33 |W |150 |44 |42.83 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|152.4  m|-         |-       |1275477 |21.7   m|1451054   |
|KIAO        |90.3  MHz |FM |212 |ND  |-                   |A  |-  |LIC    |DELTA JUNCTION           |AK |US |BLED   -20120830AHE |0.46   kW |0.46   kW |51.0    |51.0    |173632     |N |64 |3  |26.00 |W |145 |39 |7.00  |DELTA JUNCTION SEVENTH-DAY ADVENTIST CHURCH                                 |   0.00 km |   0.00 mi |  0.00 deg |401.   m|401.0  m|-         |-       |1270148 |20.    m|1512264   |
|KXGA        |90.5  MHz |FM |213 |ND  |-                   |C3 |-  |LIC    |GLENNALLEN               |AK |US |BLED   -19970813KD  |3.2    kW |3.2    kW |229.0   |229.0   |65235      |N |62 |6  |31.00 |W |146 |10 |25.00 |TERMINAL RADIO, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |941.   m|941.0  m|-         |-       |-       |17.    m|252075    |
|KRAW        |90.5  MHz |FM |213 |ND  |-                   |A  |-  |LIC    |KASILOF                  |AK |US |BLED   -20030722ADR |0.5    kW |0.     kW |60.0    |0.0     |93248      |N |60 |22 |44.00 |W |151 |11 |30.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |105.   m|0.0    m|-         |-       |1034332 |40.    m|672909    |
|KGYA        |90.5  MHz |FM |213 |ND  |-                   |D  |-  |LIC    |GRAYLING                 |AK |US |BLED   -20130418ABD |0.05   kW |0.     kW |-71.0   |0.0     |190173     |N |62 |54 |22.00 |W |160 |3  |50.00 |KUSKOKWIM PUBLIC BROADCASTING CORPORATION                                   |   0.00 km |   0.00 mi |  0.00 deg |31.    m|0.0    m|-         |-       |-       |9.     m|1551248   |
|KHOO        |90.7  MHz |FM |214 |ND  |-                   |D  |-  |LIC    |HOONAH                   |AK |US |BLED   -20101005ABF |0.     kW |0.01   kW |0.0     |-89.0   |174406     |N |58 |6  |33.00 |W |135 |26 |27.00 |HOONAH CITY SCHOOL DISTRICT                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|18.    m|-         |-       |-       |11.    m|1405280   |
|KQQJ        |90.7  MHz |FM |214 |ND  |-                   |A  |-  |LIC    |JUNEAU                   |AK |US |BLED   -20111114AUG |0.2    kW |0.2    kW |-125.0  |-125.0  |176903     |N |58 |21 |57.00 |W |134 |37 |58.00 |JUNEAU SEVENTH-DAY ADVENTIST CHURCH                                         |   0.00 km |   0.00 mi |  0.00 deg |154.   m|154.0  m|-         |-       |1258195 |9.     m|1462534   |
|KRAW        |90.7  MHz |FM |214 |ND  |-                   |A  |-  |CP     |KASILOF                  |AK |US |BPED   -20120423ABF |1.     kW |1.     kW |73.0    |73.0    |93248      |N |60 |22 |44.00 |W |151 |11 |30.00 |ALASKA EDUCATIONAL RADIO SYSTEM, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |114.   m|114.0  m|-         |-       |1034332 |49.    m|1497038   |
|KSVJ        |90.7  MHz |FM |214 |ND  |-                   |A  |-  |CP MOD |SEWARD                   |AK |US |BMPED  -20130624ABE |0.25   kW |0.25   kW |-436.0  |-436.0  |176426     |N |60 |10 |38.00 |W |149 |23 |51.10 |BLESSED HOPE BAPTIST MISSION                                                |   0.00 km |   0.00 mi |  0.00 deg |185.8  m|185.8  m|-         |-       |-       |19.8   m|1560456   |
|KODK        |90.7  MHz |FM |214 |ND  |-                   |A  |-  |LIC    |KODIAK                   |AK |US |BLED   -20130816AAD |0.215  kW |0.215  kW |270.0   |270.0   |171986     |N |57 |47 |23.00 |W |152 |25 |54.00 |KODIAK PUBLIC BROADCASTING CORPORATION                                      |   0.00 km |   0.00 mi |  0.00 deg |371.   m|371.0  m|-         |-       |1252412 |14.    m|1571728   |
|KSKA        |91.1  MHz |FM |216 |ND  |-                   |C1 |-  |LIC    |ANCHORAGE                |AK |US |BLED   -19980108KB  |100.   kW |100.   kW |188.0   |188.0   |805        |N |61 |25 |22.00 |W |149 |52 |20.00 |ALASKA PUBLIC TELECOM., INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |218.   m|218.0  m|-         |-       |1007418 |183.   m|260158    |
|KZNR        |91.1  MHz |FM |216 |ND  |-                   |D  |-  |CP MOD |RED DOG MINE             |AK |US |BMPED  -20101210AKK |0.061  kW |0.     kW |-22.0   |0.0     |180911     |N |68 |4  |24.00 |W |162 |51 |3.00  |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |319.   m|0.0    m|-         |-       |-       |14.    m|1409663   |
|KOGB        |91.3  MHz |FM |217 |ND  |-                   |A  |-  |CP     |MCGRATH                  |AK |US |BNPED  -20071018BDG |0.1    kW |0.1    kW |1.9     |1.9     |176402     |N |62 |55 |57.00 |W |155 |31 |7.00  |BLESSED HOPE BAPTIST MISSION                                                |   0.00 km |   0.00 mi |  0.00 deg |131.   m|131.0  m|-         |-       |1239448 |30.    m|1237461   |
|KSUA        |91.5  MHz |FM |218 |ND  |-                   |A  |-  |LIC    |FAIRBANKS                |AK |US |BLED   -19960415KA  |3.     kW |3.     kW |-5.0    |-5.0    |20445      |N |64 |51 |32.00 |W |147 |49 |41.00 |UNIVERSITY OF ALASKA, ON BEHALF OF U OF AK, FAIRBANKS                       |   0.00 km |   0.00 mi |  0.00 deg |216.   m|216.0  m|-         |-       |-       |36.    m|223534    |
|KWJG        |91.5  MHz |FM |218 |ND  |-                   |A  |-  |LIC    |KASILOF                  |AK |US |BLED   -19991207AAT |1.     kW |1.     kW |80.0    |80.0    |90213      |N |60 |22 |44.00 |W |151 |11 |30.00 |KASILOF PUBLIC B/G INC                                                      |   0.00 km |   0.00 mi |  0.00 deg |121.   m|121.0  m|-         |-       |1034332 |56.    m|430528    |
|KZNC        |91.5  MHz |FM |218 |ND  |-                   |D  |-  |CP MOD |RED DOG MINE PORT        |AK |US |BMPED  -20101210AJW |0.     kW |0.061  kW |0.0     |17.0    |180952     |N |67 |35 |52.00 |W |163 |59 |32.00 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|87.    m|-         |-       |-       |32.    m|1414822   |
|KLOP        |91.5  MHz |FM |218 |ND  |-                   |D  |-  |LIC    |HOLY CROSS               |AK |US |BLED   -20130411ABT |0.05   kW |0.     kW |15.0    |0.0     |189898     |N |62 |12 |5.00  |W |159 |45 |59.00 |KUSKOKWIM PUBLIC BROADCASTING CORPORATION                                   |   0.00 km |   0.00 mi |  0.00 deg |38.    m|0.0    m|-         |-       |-       |6.     m|1550408   |
|KIBH-FM     |91.7  MHz |FM |219 |ND  |-                   |A  |-  |LIC    |SEWARD                   |AK |US |BLED   -20110512AAK |1.     kW |0.     kW |-475.0  |0.0     |176521     |N |60 |9  |39.00 |W |149 |23 |24.00 |KENAI EDUCATIONAL MEDIA, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |120.4  m|0.0    m|-         |-       |1256158 |25.    m|1427154   |
|KIBH-FM     |91.7  MHz |FM |219 |ND  |-                   |A  |-  |CP MOD |SEWARD                   |AK |US |BMPED  -20130419AAL |1.     kW |0.     kW |-503.0  |0.0     |176521     |N |60 |9  |42.20 |W |149 |23 |28.30 |KENAI EDUCATIONAL MEDIA, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |96.1   m|0.0    m|-         |-       |1284787 |36.    m|1551289   |
|KIBH-FM     |91.7  MHz |FM |219 |ND  |-                   |A  |-  |APP    |SEWARD                   |AK |US |BSTA   -20130424AAG |0.1    kW |0.     kW |-558.0  |0.0     |176521     |N |60 |6  |9.50  |W |149 |26 |16.00 |KENAI EDUCATIONAL MEDIA, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |24.5   m|0.0    m|-         |-       |-       |11.4   m|1552086   |
|KUHB-FM     |91.9  MHz |FM |220 |DA  |-                   |C3 |-  |LIC    |ST. PAUL                 |AK |US |BLED   -19850724KO  |15.    kW |0.23   kW |15.0    |16.0    |53494      |N |57 |7  |14.00 |W |170 |16 |45.00 |PRIBILOF SCHOOL DISTRICT BOARD OF EDUCATION                                 |   0.00 km |   0.00 mi |  0.00 deg |53.0   m|54.    m|13637     |145.    |-       |13.    m|80437     |
|KDLL        |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |KENAI                    |AK |US |BLED   -19890227KB  |4.9    kW |4.9    kW |22.0    |22.0    |52538      |N |60 |34 |3.00  |W |151 |7  |25.00 |PICKLE HILL PUBLIC BROADCASTING, INC.                                       |   0.00 km |   0.00 mi |  0.00 deg |68.    m|68.0   m|-         |-       |-       |53.    m|124615    |
|KBRW-FM     |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |BARROW                   |AK |US |BLED   -19961119KG  |0.89   kW |0.89   kW |22.0    |22.0    |60382      |N |71 |17 |20.00 |W |156 |45 |31.00 |SILAKKUAGVIK COMMUNICATIONS, INC.                                           |   0.00 km |   0.00 mi |  0.00 deg |28.    m|28.0   m|-         |-       |-       |22.    m|235699    |
|KUDU        |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |TOK                      |AK |US |BLED   -19980303KB  |0.2    kW |0.2    kW |-37.0   |-37.0   |76851      |N |63 |19 |53.00 |W |143 |7  |2.00  |LIFETALK RADIO, INC.                                                        |   0.00 km |   0.00 mi |  0.00 deg |522.   m|522.0  m|33418     |-       |-       |25.    m|263017    |
|KIAM-FM     |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |NORTH NENANA             |AK |US |BLED   -20080408AFD |0.26   kW |0.26   kW |-3.0    |-3.0    |174373     |N |64 |33 |50.00 |W |149 |5  |21.00 |VOICE FOR CHRIST MINISTRIES, INC                                            |   0.00 km |   0.00 mi |  0.00 deg |112.   m|112.0  m|-         |-       |-       |14.    m|1242628   |
|KQVK        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |KIVALINA                 |AK |US |BNPED  -20090730AEC |0.     kW |0.01   kW |0.0     |7.0     |180889     |N |67 |43 |34.81 |W |164 |32 |16.66 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|17.    m|-         |-       |-       |14.    m|1311983   |
|KORI        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |NOORVIK                  |AK |US |BNPED  -20090730AEA |0.     kW |0.01   kW |0.0     |10.0    |180891     |N |66 |49 |59.99 |W |161 |2  |44.88 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|30.    m|-         |-       |-       |15.    m|1312129   |
|KBUQ        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |BUCKLAND                 |AK |US |BNPED  -20090730ADY |0.     kW |0.01   kW |0.0     |-79.0   |180899     |N |66 |58 |42.36 |W |161 |7  |33.72 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|28.    m|-         |-       |-       |14.    m|1312539   |
|KDRG        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |DEERING                  |AK |US |BNPED  -20090730ADX |0.     kW |0.01   kW |0.0     |-12.0   |180900     |N |66 |4  |31.79 |W |162 |43 |20.61 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|16.    m|-         |-       |-       |11.    m|1312549   |
|KJNR        |91.9  MHz |FM |220 |ND  |-                   |A  |-  |LIC    |BETHEL                   |AK |US |BLED   -20101103ADH |0.     kW |3.     kW |0.0     |23.0    |174904     |N |60 |47 |41.20 |W |161 |46 |17.50 |NEW LIFE TABERNACLE HOMER AK                                                |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|33.    m|-         |-       |-       |30.    m|1400529   |
|KUUK        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |NOATAK                   |AK |US |BNPED  -20090730AED |0.     kW |0.01   kW |0.0     |-5.0    |180838     |N |67 |34 |20.00 |W |162 |58 |7.00  |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|41.    m|-         |-       |1258535 |14.    m|1409629   |
|KIEA        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |SELAWIK                  |AK |US |BNPED  -20090730ADV |0.     kW |0.01   kW |0.0     |28.0    |180909     |N |66 |36 |27.00 |W |160 |0  |43.00 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|32.    m|-         |-       |1256970 |27.    m|1409630   |
|KIAN        |91.9  MHz |FM |220 |ND  |-                   |D  |-  |CP     |KIANA                    |AK |US |BNPED  -20090730ADU |0.     kW |0.01   kW |0.0     |-42.0   |180910     |N |66 |58 |27.00 |W |160 |25 |39.00 |KOTZEBUE BROADCASTING, INC.                                                 |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|48.    m|-         |-       |1258533 |14.    m|1409631   |
|NEW         |91.9  MHz |FM |220 |ND  |-                   |D  |-  |APP    |YAKUTAT                  |AK |US |BNPED  -20131030AHT |0.     kW |0.025  kW |0.0     |56.0    |191906     |N |59 |33 |15.00 |W |139 |43 |30.00 |YAKUTAT TLINGIT TRIBE                                                       |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|75.    m|-         |-       |-       |24.    m|1567431   |
|KBBO-FM     |92.1  MHz |FM |221 |ND  |-                   |C2 |-  |LIC    |HOUSTON                  |AK |US |BLH    -20030916AAH |10.    kW |10.    kW |270.0   |270.0   |68694      |N |61 |20 |11.00 |W |149 |30 |48.00 |OMG FCC LICENSES LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |598.   m|598.0  m|-         |-       |1204036 |20.    m|680555    |
|KHKY        |92.7  MHz |FM |224 |ND  |-                   |D  |-  |LIC    |AKIACHAK                 |AK |US |BLED   -20070913ABF |0.     kW |0.05   kW |0.0     |28.0    |171129     |N |60 |54 |35.60 |W |161 |25 |56.60 |YUPIIT SCHOOL DISTRICT                                                      |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|33.5   m|-         |-       |-       |13.5   m|1205019   |
|KQHE        |92.7  MHz |FM |224 |ND  |-                   |C2 |-  |CP     |FAIRBANKS                |AK |US |BNPH   -20120529AFH |2.     kW |2.     kW |475.0   |475.0   |190428     |N |64 |52 |47.40 |W |148 |3  |9.70  |LITTLE FLOWER MINISTRIES                                                    |   0.00 km |   0.00 mi |  0.00 deg |738.1  m|738.1  m|-         |-       |1007977 |20.3   m|1505298   |
|KFAT        |92.9  MHz |FM |225 |ND  |-                   |C2 |-  |LIC    |ANCHORAGE                |AK |US |BLH    -20030916AAK |10.    kW |10.    kW |270.0   |270.0   |221        |N |61 |20 |11.00 |W |149 |30 |48.00 |OMG FCC LICENSES LLC                                                        |   0.00 km |   0.00 mi |  0.00 deg |598.   m|598.0  m|-         |-       |1204036 |20.    m|680552    |
|KVAK-FM     |93.3  MHz |FM |227 |ND  |-                   |A  |-  |LIC    |VALDEZ                   |AK |US |BLH    -19990601KA  |1.2    kW |1.2    kW |-597.0  |-597.0  |88010      |N |61 |7  |16.00 |W |146 |15 |25.00 |NORTH WAVE COMMUNICATIONS, INC.                                             |   0.00 km |   0.00 mi |  0.00 deg |53.    m|53.0   m|-         |-       |1045100 |43.    m|285768    |
|KXBA        |93.3  MHz |FM |227 |ND  |-                   |C2 |-  |LIC    |NIKISKI                  |AK |US |BLH    -20000519AAL |50.    kW |50.    kW |74.0    |74.0    |86717      |N |60 |30 |39.00 |W |151 |16 |12.00 |PENINSULA COMMUNICATIONS INC                                                |   0.00 km |   0.00 mi |  0.00 deg |96.    m|96.0   m|-         |-       |1210091 |84.    m|499697    |
|KDJF        |93.5  MHz |FM |228 |ND  |-                   |C1 |-  |LIC    |ESTER                    |AK |US |BLH    -20080321ABF |20.5   kW |20.5   kW |481.0   |481.0   |164233     |N |64 |52 |45.00 |W |148 |3  |14.00 |TANANA VALLEY TELEVISION COMPANY                                            |   0.00 km |   0.00 mi |  0.00 deg |744.   m|744.0  m|-         |-       |-       |28.    m|1233863   |
|KAFC        |93.7  MHz |FM |229 |ND  |-                   |C2 |-  |LIC    |ANCHORAGE                |AK |US |BLH    -19991007ABE |27.    kW |27.    kW |202.0   |202.0   |78507      |N |61 |4  |2.00  |W |149 |44 |36.00 |CHRISTIAN BROADCASTING, INC                                                 |   0.00 km |   0.00 mi |  0.00 deg |529.   m|529.0  m|30660     |-       |1062073 |19.    m|418799    |
|KWDD        |94.3  MHz |FM |232 |ND  |-                   |C1 |-  |LIC    |FAIRBANKS                |AK |US |BLH    -20121101ADC |28.    kW |28.    kW |233.0   |233.0   |190239     |N |64 |55 |21.00 |W |147 |42 |55.00 |LAST FRONTIER MEDIACTIVE, LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |476.   m|476.0  m|-         |-       |1002771 |55.    m|1521694   |
|KZND-FM     |94.7  MHz |FM |234 |ND  |-                   |C2 |-  |LIC    |HOUSTON                  |AK |US |BLH    -20071101ABX |15.    kW |15.    kW |265.0   |265.0   |10770      |N |61 |20 |12.00 |W |149 |30 |45.00 |ALASKA INTEGRATED MEDIA, INC.                                               |   0.00 km |   0.00 mi |  0.00 deg |594.   m|594.0  m|-         |-       |1247560 |20.    m|1320429   |
|KNLT        |95.5  MHz |FM |238 |ND  |-                   |C1 |-  |CP MOD |PALMER                   |AK |US |BMPH   -20120424AAM |100.   kW |100.   kW |114.0   |114.0   |189579     |N |61 |29 |6.00  |W |149 |45 |46.00 |TANANA VALLEY TELEVISION COMPANY                                            |   0.00 km |   0.00 mi |  0.00 deg |154.   m|154.0  m|-         |-       |1019797 |93.    m|1496310   |
|KXLR        |95.9  MHz |FM |240 |ND  |-                   |C1 |-  |LIC    |FAIRBANKS                |AK |US |BLH    -20121101ADD |28.    kW |28.    kW |233.0   |233.0   |49622      |N |64 |55 |21.00 |W |147 |42 |55.00 |LAST FRONTIER MEDIACTIVE, LLC                                               |   0.00 km |   0.00 mi |  0.00 deg |476.   m|476.0  m|-         |-       |1002771 |55.    m|1521689   |
